AccountNumber,NMI,DeviceNumber,DeviceType,RegisterCode,RateTypeDescription,StartDate,EndDate,ProfileReadValue,RegisterReadValue,QualityFlag,BOMTEMP
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 0:00,11/07/2019 0:29,0,0,E,13.5
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 0:00,11/07/2019 0:29,0,0,E,13.5
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 0:30,11/07/2019 0:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 0:30,11/07/2019 0:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 1:00,11/07/2019 1:29,0,0,E,13.3
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 1:00,11/07/2019 1:29,0,0,E,13.3
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 1:30,11/07/2019 1:59,0,0,E,12.7
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 1:30,11/07/2019 1:59,0,0,E,12.7
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 2:00,11/07/2019 2:29,0,0,E,13
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 2:00,11/07/2019 2:29,0,0,E,13
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 2:30,11/07/2019 2:59,0,0,E,12.9
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 2:30,11/07/2019 2:59,0,0,E,12.9
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 3:00,11/07/2019 3:29,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 3:00,11/07/2019 3:29,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 3:30,11/07/2019 3:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 3:30,11/07/2019 3:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 4:00,11/07/2019 4:29,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 4:00,11/07/2019 4:29,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 4:30,11/07/2019 4:59,0,0,E,13.4
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 4:30,11/07/2019 4:59,0,0,E,13.4
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 5:00,11/07/2019 5:29,0,0,E,13.7
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 5:00,11/07/2019 5:29,0,0,E,13.7
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 5:30,11/07/2019 5:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 5:30,11/07/2019 5:59,0,0,E,13.2
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 6:00,11/07/2019 6:29,0,0,E,12.4
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 6:00,11/07/2019 6:29,0,0,E,12.4
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 6:30,11/07/2019 6:59,0,0,E,12.9
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 6:30,11/07/2019 6:59,0,0,E,12.9
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 7:00,11/07/2019 7:29,0,0,E,13
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 7:00,11/07/2019 7:29,0,0,E,13
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 7:30,11/07/2019 7:59,0,0,E,13.6
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 7:30,11/07/2019 7:59,0,0,E,13.6
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 8:00,11/07/2019 8:29,0,0,E,14.1
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 8:00,11/07/2019 8:29,0,0,E,14.1
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 8:30,11/07/2019 8:59,0,0,E,14.9
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 8:30,11/07/2019 8:59,0,0,E,14.9
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 9:00,11/07/2019 9:29,0,0,E,16
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 9:00,11/07/2019 9:29,0,0,E,16
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 9:30,11/07/2019 9:59,0,0,E,16.9
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 9:30,11/07/2019 9:59,0,0,E,16.9
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 10:00,11/07/2019 10:29,0,0,E,17.4
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 10:00,11/07/2019 10:29,0,0,E,17.4
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 10:30,11/07/2019 10:59,0,0,E,17.5
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 10:30,11/07/2019 10:59,0,0,E,17.5
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 11:00,11/07/2019 11:29,0,0,E,17.8
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 11:00,11/07/2019 11:29,0,0,E,17.8
7060472128,43102824698,700373538,COMMS4D,73538#B1,Solar,11/07/2019 11:30,11/07/2019 11:59,0,0,E,17.9
7060472128,43102824698,700373538,COMMS4D,73538#E1,Generalusage,11/07/2019 11:30,11/07/2019 11:59,0,0,E,17.9
